# date, home, score, away, score
2009-11-23 HOU 17 TEN 20
2009-11-26 DET 12 GB  34
2009-11-26 DAL 24 OAK  7
2009-11-26 DEN 26 NYG  6
2009-11-29 HOU 27 IND 35
2009-11-29 CIN 16 CLE  7
2009-11-29 BUF 31 MIA 14
2009-11-29 ATL 20 TB  17
2009-11-29 NYJ 17 CAR  6
2009-11-29 PHI 27 WAS 24
2009-11-29 STL 17 SEA 27
2009-11-29 SD  43 KC  14
2009-11-29 SF  20 JAC  3
2009-11-29 MIN 36 CHI 10
2009-11-29 TEN 20 ARI 17
2009-11-29 BAL 20 PIT 17
2009-11-30 NO  38 NE  17
2009-12-03 BUF 13 NYJ 19
2009-12-06 ATL  7 PHI 34
2009-12-06 CAR 16 TB   6
2009-12-06 CHI 17 STL  9
2009-12-06 CIN 23 DET 13
2009-12-06 IND 27 TEN 17
2009-12-06 JAC 23 HOU 18
2009-12-06 KC  13 DEN 44
2009-12-06 PIT 24 OAK 27
2009-12-06 WAS 30 NO  33
2009-12-06 MIA 22 NE  21
2009-12-06 CLE 23 SD  30
2009-12-06 NYG 31 DAL 24
2009-12-06 SEA 20 SF  17
2009-12-06 ARI 30 MIN 17
2009-12-07 GB  27 BAL 14
2009-12-10 CLE 13 PIT  6
2009-12-13 HOU 34 SEA  7
2009-12-13 KC  10 BUF 16
2009-12-13 MIN 30 CIN 10
2009-12-13 NE  20 CAR 10
2009-12-13 TB   3 NYJ 26
2009-12-13 IND 28 DEN 16
2009-12-13 JAC 10 MIA 14
2009-12-13 ATL 23 NO  26
2009-12-13 BAL 48 DET  3
2009-12-13 CHI 14 GB  21
2009-12-13 TEN 47 STL  7
2009-12-13 OAK 13 WAS 34
2009-12-13 DAL 17 SD  20
2009-12-13 NYG 38 PHI 45
2009-12-14 SF  24 ARI  9
2009-12-17 JAC 31 IND 35
2009-12-19 NO  17 DAL 24
2009-12-20 DET 24 ARI 31
2009-12-20 KC  34 CLE 41
2009-12-20 NYJ  7 ATL 10
2009-12-20 BUF 10 NE  17
2009-12-20 STL 13 HOU 16
2009-12-20 TEN 27 MIA 24
2009-12-20 DEN 19 OAK 20
2009-12-20 SD  27 CIN 24
2009-12-20 BAL 31 CHI  7
2009-12-20 PHI 27 SF  13
2009-12-20 PIT 37 GB  36
2009-12-20 SEA  7 TB  24
2009-12-20 CAR 26 MIN  7
2009-12-21 WAS 12 NYG 45
2009-12-25 TEN 17 SD  42
2009-12-27 ATL 31 BUF  3
2009-12-27 CIN 17 KC  10
2009-12-27 CLE 23 OAK  9
2009-12-27 GB  48 SEA 10
2009-12-27 MIA 20 HOU 27
2009-12-27 NYG  9 CAR 41
2009-12-27 NE  35 JAC  7
2009-12-27 NO  17 TB  20
2009-12-27 PIT 23 BAL 20
2009-12-27 ARI 31 STL 10
2009-12-27 SF  20 DET  6
2009-12-27 PHI 30 DEN 27
2009-12-27 IND 15 NYJ 29
2009-12-27 WAS  0 DAL 17
2009-12-28 CHI 36 MIN 30
2010-01-03 BUF 30 IND  7
2010-01-03 CLE 23 JAC 17
2010-01-03 DET 23 CHI 37
2010-01-03 HOU 34 NE  27
2010-01-03 MIA 24 PIT 30
2010-01-03 MIN 44 NYG  7
2010-01-03 STL  6 SF  28
2010-01-03 TB  10 ATL 20
2010-01-03 CAR 23 NO  10
2010-01-03 SEA 13 TEN 17
2010-01-03 DAL 24 PHI  0
2010-01-03 ARI  7 GB  33
2010-01-03 DEN 24 KC  44
2010-01-03 OAK 13 BAL 21
2010-01-03 SD  23 WAS 20
2010-01-03 NYJ 37 CIN  0
2010-09-09 NO  14 MIN  9
2010-09-12 TB  17 CLE 14
2010-09-12 BUF 10 MIA 15
2010-09-12 NE  38 CIN 24
2010-09-12 HOU 34 IND 24
2010-09-12 JAC 24 DEN 17
2010-09-12 TEN 38 OAK 13
2010-09-12 NYG 31 CAR 18
2010-09-12 CHI 19 DET 14
2010-09-12 PIT 15 ATL  9
2010-09-12 STL 13 ARI 17
2010-09-12 PHI 20 GB  27
2010-09-12 SEA 31 SF   6
2010-09-12 WAS 13 DAL  7
2010-09-13 NYJ  9 BAL 10
2010-09-13 KC  21 SD  14
2010-09-19 GB  34 BUF  7
2010-09-19 MIN 10 MIA 14
2010-09-19 CLE 14 KC  16
2010-09-19 TEN 11 PIT 19
2010-09-19 DAL 20 CHI 27
2010-09-19 DET 32 PHI 35
2010-09-19 ATL 41 ARI  7
2010-09-19 CAR  7 TB  20
2010-09-19 CIN 15 BAL 10
2010-09-19 DEN 31 SEA 14
2010-09-19 OAK 16 STL 14
2010-09-19 WAS 27 HOU 30
2010-09-19 NYJ 28 NE  14
2010-09-19 SD  38 JAC 13
2010-09-19 IND 38 NYG 14
2010-09-20 SF  22 NO  25
2010-09-26 NYG 10 TEN 29
2010-09-26 CAR  7 CIN 20
2010-09-26 TB  13 PIT 38
2010-09-26 NE  38 BUF 30
2010-09-26 BAL 24 CLE 17
2010-09-26 MIN 24 DET 10
2010-09-26 NO  24 ATL 27
2010-09-26 HOU 13 DAL 27
2010-09-26 KC  31 SF  10
2010-09-26 STL 30 WAS 16
2010-09-26 JAC  3 PHI 28
2010-09-26 DEN 13 IND 27
2010-09-26 ARI 24 OAK 23
2010-09-26 SEA 27 SD  20
2010-09-26 MIA 23 NYJ 31
2010-09-27 CHI 20 GB  17
2010-10-03 BUF 14 NYJ 38
2010-10-03 CLE 23 CIN 20
2010-10-03 PIT 14 BAL 17
2010-10-03 TEN 20 DEN 26
2010-10-03 GB  28 DET 26
2010-10-03 ATL 16 SF  14
2010-10-03 NO  16 CAR 14
2010-10-03 STL 20 SEA  3
2010-10-03 JAC 31 IND 28
2010-10-03 OAK 24 HOU 31
2010-10-03 PHI 12 WAS 17
2010-10-03 SD  41 ARI 10
2010-10-03 NYG 17 CHI  3
2010-10-04 MIA 14 NE  41
2010-10-10 BUF 26 JAC 36
2010-10-10 BAL 31 DEN 17
2010-10-10 IND 19 KC   9
2010-10-10 WAS 16 GB  13
2010-10-10 DET 44 STL  6
2010-10-10 CAR  6 CHI 23
2010-10-10 CIN 21 TB  24
2010-10-10 CLE 10 ATL 20
2010-10-10 HOU 10 NYG 34
2010-10-10 ARI 30 NO  20
2010-10-10 DAL 27 TEN 34
2010-10-10 OAK 35 SD  27
2010-10-10 SF  24 PHI 27
2010-10-11 NYJ 29 MIN 20
2010-10-17 GB  20 MIA 23
2010-10-17 STL 20 SD  17
2010-10-17 NE  23 BAL 20
2010-10-17 PIT 28 CLE 10
2010-10-17 HOU 35 KC  31
2010-10-17 NYG 28 DET 20
2010-10-17 PHI 31 ATL 17
2010-10-17 CHI 20 SEA 23
2010-10-17 TB   6 NO  31
2010-10-17 DEN 20 NYJ 24
2010-10-17 SF  17 OAK  9
2010-10-17 MIN 24 DAL 21
2010-10-17 WAS 24 IND 27
2010-10-18 JAC  3 TEN 30
2010-10-24 ATL 39 CIN 32
2010-10-24 MIA 22 PIT 23
2010-10-24 BAL 37 BUF 34
2010-10-24 KC  42 JAC 20
2010-10-24 NO  17 CLE 30
2010-10-24 CHI 14 WAS 17
2010-10-24 CAR 23 SF  20
2010-10-24 TB  18 STL 17
2010-10-24 TEN 37 PHI 19
2010-10-24 SEA 22 ARI 10
2010-10-24 SD  20 NE  23
2010-10-24 DEN 14 OAK 59
2010-10-24 GB  28 MIN 24
2010-10-25 DAL 35 NYG 41
2010-10-31 SF  24 DEN 16
2010-10-31 DAL 17 JAC 35
2010-10-31 CIN 14 MIA 22
2010-10-31 KC  13 BUF 10
2010-10-31 DET 37 WAS 25
2010-10-31 STL 20 CAR 10
2010-10-31 NYJ  0 GB   9
2010-10-31 SD  33 TEN 25
2010-10-31 NE  28 MIN 18
2010-10-31 ARI 35 TB  38
2010-10-31 OAK 33 SEA  3
2010-10-31 NO  20 PIT 10
2010-11-01 IND 30 HOU 17
2010-11-07 DET 20 NYJ 23
2010-11-07 BAL 26 MIA 10
2010-11-07 CLE 34 NE  14
2010-11-07 HOU 23 SD  29
2010-11-07 BUF 19 CHI 22
2010-11-07 MIN 27 ARI 24
2010-11-07 ATL 27 TB  21
2010-11-07 CAR  3 NO  34
2010-11-07 SEA  7 NYG 41
2010-11-07 PHI 26 IND 24
2010-11-07 OAK 23 KC  20
2010-11-07 GB  45 DAL  7
2010-11-08 CIN 21 PIT 27
2010-11-11 ATL 26 BAL 21
2010-11-14 CHI 27 MIN 13
2010-11-14 MIA 29 TEN 17
2010-11-14 CLE 20 NYJ 26
2010-11-14 IND 23 CIN 17
2010-11-14 JAC 31 HOU 24
2010-11-14 BUF 14 DET 12
2010-11-14 TB  31 CAR 16
2010-11-14 DEN 49 KC  29
2010-11-14 NYG 20 DAL 33
2010-11-14 ARI 18 SEA 36
2010-11-14 SF  23 STL 20
2010-11-14 PIT 26 NE  39
2010-11-15 WAS 28 PHI 59
2010-11-18 MIA  0 CHI 16
2010-11-21 CAR 13 BAL 37
2010-11-21 NYJ 30 HOU 27
2010-11-21 CIN 31 BUF 49
2010-11-21 PIT 35 OAK  3
2010-11-21 JAC 24 CLE 20
2010-11-21 DAL 35 DET 19
2010-11-21 MIN  3 GB  31
2010-11-21 TEN 16 WAS 19
2010-11-21 KC  31 ARI 13
2010-11-21 NO  34 SEA 19
2010-11-21 STL 17 ATL 34
2010-11-21 SF   0 TB  21
2010-11-21 NE  31 IND 28
2010-11-21 PHI 27 NYG 17
2010-11-22 SD  35 DEN 14
2010-11-25 DET 24 NE  45
2010-11-25 DAL 27 NO  30
2010-11-25 NYJ 26 CIN 10
2010-11-28 WAS 13 MIN 17
2010-11-28 HOU 20 TEN  0
2010-11-28 BUF 16 PIT 19
2010-11-28 NYG 24 JAC 20
2010-11-28 ATL 20 GB  17
2010-11-28 CLE 24 CAR 23
2010-11-28 SEA 24 KC  42
2010-11-28 OAK 17 MIA 33
2010-11-28 CHI 31 PHI 26
2010-11-28 BAL 17 TB  10
2010-11-28 DEN 33 STL 36
2010-11-28 IND 14 SD  36
2010-11-29 ARI  6 SF  27
2010-12-02 PHI 34 HOU 24
2010-12-05 MIN 38 BUF 14
2010-12-05 MIA 10 CLE 13
2010-12-05 TEN  6 JAC 17
2010-12-05 KC  10 DEN  6
2010-12-05 NYG 31 WAS  7
2010-12-05 DET 20 CHI 24
2010-12-05 GB  34 SF  16
2010-12-05 CIN 30 NO  34
2010-12-05 SD  13 OAK 28
2010-12-05 TB  24 ATL 28
2010-12-05 IND 35 DAL 38
2010-12-05 ARI  6 STL 19
2010-12-05 SEA 31 CAR 14
2010-12-05 BAL 10 PIT 13
2010-12-06 NE  45 NYJ  3
2010-12-09 TEN 28 IND 30
2010-12-12 BUF 13 CLE  6
2010-12-12 PIT 23 CIN  7
2010-12-12 JAC 38 OAK 31
2010-12-12 WAS 16 TB  17
2010-12-12 DET  7 GB   3
2010-12-12 CAR 10 ATL 31
2010-12-12 NO  31 STL 13
2010-12-12 SF  40 SEA 21
2010-12-12 CHI  7 NE  36
2010-12-12 NYJ  6 MIA 10
2010-12-12 ARI 43 DEN 13
2010-12-12 SD  31 KC   0
2010-12-12 DAL 27 PHI 30
2010-12-13 MIN  3 NYG 21
2010-12-13 HOU 28 BAL 34
2010-12-16 SD  34 SF   7
2010-12-19 STL 13 KC  27
2010-12-19 MIA 14 BUF 17
2010-12-19 CIN 19 CLE 17
2010-12-19 IND 34 JAC 24
2010-12-19 TEN 31 HOU 17
2010-12-19 DAL 33 WAS 30
2010-12-19 NYG 31 PHI 38
2010-12-19 CAR 19 ARI 12
2010-12-19 TB  20 DET 23
2010-12-19 BAL 30 NO  24
2010-12-19 SEA 18 ATL 34
2010-12-19 PIT 17 NYJ 22
2010-12-19 OAK 39 DEN 23
2010-12-19 NE  31 GB  27
2010-12-20 MIN 14 CHI 40
2010-12-23 PIT 27 CAR  3
2010-12-25 ARI 27 DAL 26
2010-12-26 CLE 10 BAL 20
2010-12-26 KC  34 TEN 14
2010-12-26 BUF  3 NE  34
2010-12-26 CHI 38 NYJ 34
2010-12-26 STL 25 SF  17
2010-12-26 MIA 27 DET 34
2010-12-26 JAC 17 WAS 20
2010-12-26 CIN 34 SD  20
2010-12-26 DEN 24 HOU 23
2010-12-26 OAK 26 IND 31
2010-12-26 TB  38 SEA 15
2010-12-26 GB  45 NYG 17
2010-12-27 ATL 14 NO  17
2010-12-28 PHI 14 MIN 24
2011-01-02 NE  38 MIA  7
2011-01-02 BAL 13 CIN  7
2011-01-02 CLE  9 PIT 41
2011-01-02 KC  10 OAK 31
2011-01-02 DET 20 MIN 13
2011-01-02 ATL 31 CAR 10
2011-01-02 NO  13 TB  23
2011-01-02 NYJ 38 BUF  7
2011-01-02 HOU 34 JAC 17
2011-01-02 IND 23 TEN 20
2011-01-02 PHI 13 DAL 14
2011-01-02 WAS 14 NYG 17
2011-01-02 GB  10 CHI  3
2011-01-02 DEN 28 SD  33
2011-01-02 SF  38 ARI  7
2011-01-02 SEA 16 STL  6
2011-09-08 GB  42 NO  34
2011-09-11 BAL 35 PIT  7
2011-09-11 CLE 17 CIN 27
2011-09-11 HOU 34 IND  7
2011-09-11 JAC 16 TEN 14
2011-09-11 KC   7 BUF 41
2011-09-11 CHI 30 ATL 12
2011-09-11 TB  20 DET 27
2011-09-11 STL 13 PHI 31
2011-09-11 WAS 28 NYG 14
2011-09-11 ARI 28 CAR 21
2011-09-11 SF  33 SEA 17
2011-09-11 SD  24 MIN 17
2011-09-11 NYJ 27 DAL 24
2011-09-12 MIA 24 NE  38
2011-09-12 DEN 20 OAK 23
2011-09-18 DET 48 KC   3
2011-09-18 BUF 38 OAK 35
2011-09-18 TEN 26 BAL 13
2011-09-18 NYJ 32 JAC  3
2011-09-18 IND 19 CLE 27
2011-09-18 WAS 22 ARI 21
2011-09-18 MIN 20 TB  24
2011-09-18 CAR 23 GB  30
2011-09-18 NO  30 CHI 13
2011-09-18 PIT 24 SEA  0
2011-09-18 SF  24 DAL 27
2011-09-18 NE  35 SD  21
2011-09-18 DEN 24 CIN 22
2011-09-18 MIA 13 HOU 23
2011-09-18 ATL 35 PHI 31
2011-09-19 NYG 28 STL 16
2011-09-25 CAR 16 JAC 10
2011-09-25 NO  40 HOU 33
2011-09-25 BUF 34 NE  31
2011-09-25 CLE 17 MIA 16
2011-09-25 TEN 17 DEN 14
2011-09-25 PHI 16 NYG 29
2011-09-25 MIN 23 DET 26
2011-09-25 CIN  8 SF  13
2011-09-25 OAK 34 NYJ 24
2011-09-25 SD  20 KC  17
2011-09-25 STL  7 BAL 37
2011-09-25 CHI 17 GB  27
2011-09-25 SEA 13 ARI 10
2011-09-25 TB  16 ATL 13
2011-09-25 IND 20 PIT 23
2011-09-26 DAL 18 WAS 16
2011-10-02 CIN 23 BUF 20
2011-10-02 CLE 13 TEN 31
2011-10-02 HOU 17 PIT 10
2011-10-02 DAL 30 DET 34
2011-10-02 PHI 23 SF  24
2011-10-02 CHI 34 CAR 29
2011-10-02 STL 10 WAS 17
2011-10-02 JAC 10 NO  23
2011-10-02 KC  22 MIN 17
2011-10-02 ARI 27 NYG 31
2011-10-02 SEA 28 ATL 30
2011-10-02 GB  49 DEN 23
2011-10-02 OAK 19 NE  31
2011-10-02 SD  26 MIA 16
2011-10-02 BAL 34 NYJ 17
2011-10-03 TB  24 IND 17
2011-10-09 PIT 38 TEN 17
2011-10-09 HOU 20 OAK 25
2011-10-09 IND 24 KC  28
2011-10-09 JAC 20 CIN 30
2011-10-09 NYG 25 SEA 36
2011-10-09 MIN 34 ARI 10
2011-10-09 CAR 27 NO  30
2011-10-09 BUF 31 PHI 24
2011-10-09 SF  48 TB   3
2011-10-09 NE  30 NYJ 21
2011-10-09 DEN 24 SD  29
2011-10-09 ATL 14 GB  25
2011-10-10 DET 24 CHI 13
2011-10-16 NYG 27 BUF 24
2011-10-16 CIN 27 IND 17
2011-10-16 PIT 17 JAC 13
2011-10-16 WAS 13 PHI 20
2011-10-16 DET 19 SF  25
2011-10-16 GB  24 STL  3
2011-10-16 ATL 31 CAR 17
2011-10-16 OAK 24 CLE 17
2011-10-16 BAL 29 HOU 14
2011-10-16 TB  26 NO  20
2011-10-16 NE  20 DAL 16
2011-10-16 CHI 39 MIN 10
2011-10-17 NYJ 24 MIA  6
2011-10-23 MIA 15 DEN 18
2011-10-23 NYJ 27 SD  21
2011-10-23 TEN  7 HOU 41
2011-10-23 DET 16 ATL 23
2011-10-23 CAR 33 WAS 20
2011-10-23 TB  18 CHI 24
2011-10-23 CLE  6 SEA  3
2011-10-23 ARI 20 PIT 32
2011-10-23 OAK  0 KC  28
2011-10-23 MIN 27 GB  33
2011-10-23 DAL 34 STL  7
2011-10-23 NO  62 IND  7
2011-10-24 JAC 12 BAL  7
2011-10-30 NYG 20 MIA 17
2011-10-30 HOU 24 JAC 14
2011-10-30 TEN 27 IND 10
2011-10-30 CAR 21 MIN 24
2011-10-30 STL 31 NO  21
2011-10-30 BAL 30 ARI 27
2011-10-30 DEN 10 DET 45
2011-10-30 BUF 23 WAS  0
2011-10-30 PIT 25 NE  17
2011-10-30 SF  20 CLE 10
2011-10-30 SEA 12 CIN 34
2011-10-30 PHI 34 DAL  7
2011-10-31 KC  23 SD  20
2011-11-06 BUF 11 NYJ 27
2011-11-06 HOU 30 CLE 12
2011-11-06 KC   3 MIA 31
2011-11-06 DAL 23 SEA 13
